"","stn","wban","year","moda","temp","Tobs","dewp","Dobs","slp","Sobs","stp","Pobs","visib","Vobs","wdsp","Wobs","mxspd","gust","max","xf","min","nf","prcp","pf","sndp","frshtt"
"71",32200,99999,2000,"0609",52.4,24,50.1,24,1009.2,24,NA,0,8.5,23,2.3,24,8,NA,55.6,"",49.5,"*",0.71,"E",NA,"000000"
"72",32200,99999,2000,"0610",54.2,24,44.7,24,1012,24,NA,0,19.5,24,9.7,24,16.9,NA,60.3,"",49.3,"",0.08,"F",NA,"000000"
"73",32200,99999,2000,"0611",53.4,24,45.7,24,1012.8,24,NA,0,18.5,24,13.2,24,19,NA,57.6,"",49.5,"",0.04,"F",NA,"000000"
"74",32200,99999,2000,"0612",59.4,23,53.8,23,1014.9,23,NA,0,20.4,23,15.1,23,21,NA,70,"",52.7,"",0,"I",NA,"000000"
"75",32200,99999,2000,"0613",56.4,24,46.4,24,1018.5,24,NA,0,17.4,24,16.6,24,25.1,40,60.6,"",50.9,"*",0.16,"E",NA,"000000"
"76",32200,99999,2000,"0614",55,24,46.4,24,1020.9,24,NA,0,14.9,24,4,24,12,NA,63.5,"",48.2,"",0.02,"E",NA,"000000"
"77",32200,99999,2000,"0615",55.7,23,44.1,23,1025.8,23,NA,0,23.8,23,4.9,23,8.9,NA,63.9,"",49.5,"",0,"I",NA,"000000"
"78",32200,99999,2000,"0616",60.2,24,48.8,24,1026.5,24,NA,0,19,24,3.1,24,8.9,NA,73.2,"",46.6,"",0,"I",NA,"000000"
"79",32200,99999,2000,"0617",64.3,22,57.1,22,1021.8,22,NA,0,7.7,22,8.6,22,19,NA,76.3,"",55,"",0,"I",NA,"000000"
"80",32200,99999,2000,"0618",69.2,24,58.6,24,1019.2,24,NA,0,11.5,24,3.3,24,8.9,NA,85.3,"",54.9,"",0,"I",NA,"000000"
"81",32200,99999,2000,"0619",63.5,23,55.2,23,1011.9,23,NA,0,12.7,23,6.8,23,19,NA,75.7,"",56.3,"",0,"I",NA,"000000"
"82",32200,99999,2000,"0620",60.6,22,55.1,22,1009,22,NA,0,11.9,22,5.6,22,13,NA,66.7,"",56.8,"",0.02,"E",NA,"000000"
"83",32200,99999,2000,"0621",59,24,52.3,24,1001.1,24,NA,0,16.6,24,11.7,24,18.1,NA,63.3,"",54.1,"*",0.18,"F",NA,"000000"
"84",32200,99999,2000,"0622",56.6,24,51.6,24,1002.4,24,NA,0,16.1,24,8.1,24,14,NA,62.4,"",52.9,"",0.16,"F",NA,"000000"
"85",32200,99999,2000,"0623",53.3,23,48,23,1012.1,23,NA,0,30.3,23,10,23,15,NA,55.6,"*",51.6,"*",0,"E",NA,"000000"
"86",32200,99999,2000,"0624",54.3,22,46.4,22,1017.2,22,NA,0,27.5,22,5.5,22,8,NA,59.9,"",48.7,"",0,"E",NA,"000000"
"87",32200,99999,2000,"0625",55.5,22,45.9,22,1022.6,22,NA,0,22.9,22,3.1,22,8.9,NA,64.4,"",48.7,"",0.02,"E",NA,"000000"
"88",32200,99999,2000,"0626",54.3,24,46.5,24,1025.5,24,NA,0,18.2,24,2.7,24,6,NA,62.2,"",44.8,"",0.04,"E",NA,"000000"
"89",32200,99999,2000,"0627",56.9,24,48.9,24,1024,24,NA,0,11.8,24,3.4,24,6,NA,68.7,"",43.3,"",0,"I",NA,"000000"
"90",32200,99999,2000,"0628",56.5,24,50.7,24,1022,24,NA,0,7.8,24,6.5,24,8,NA,64.6,"",51.1,"*",0,"I",NA,"000000"
"91",32200,99999,2000,"0629",53.5,24,46.9,24,1021.4,24,NA,0,14.3,24,6.7,24,11.1,NA,63,"",48.7,"",0.03,"E",NA,"000000"
"92",32200,99999,2000,"0630",53.7,24,44.5,24,1016.2,24,NA,0,23.6,24,5.1,24,8.9,NA,63.5,"",40.3,"",0,"I",NA,"000000"
"93",32200,99999,2000,"0701",59.6,24,49,24,1009.5,24,NA,0,12.7,24,3.4,24,6,NA,73,"",45.7,"",0,"I",NA,"000000"
"94",32200,99999,2000,"0702",57.7,24,52.7,24,1010.9,24,NA,0,11.8,24,5.5,24,13,NA,63.7,"",53.8,"",0.02,"E",NA,"000000"
"95",32200,99999,2000,"0703",56.6,24,50.8,24,1011.8,24,NA,0,14,23,8.2,24,11.1,NA,61.7,"",50.9,"",0,"I",NA,"000000"
"96",32200,99999,2000,"0704",58.5,23,51.3,23,1010.3,23,NA,0,10,23,7,23,9.9,NA,65.7,"",53.6,"",0,"I",NA,"000000"
"97",32200,99999,2000,"0705",58.4,24,51.1,24,1014.5,24,NA,0,13.9,24,5.8,24,8,NA,65.8,"",54.5,"",0,"I",NA,"000000"
"98",32200,99999,2000,"0706",51,23,47,23,1020.9,23,NA,0,20.9,23,7.9,23,11.1,NA,54.5,"*",46.9,"*",0.71,"E",NA,"000000"
"99",32200,99999,2000,"0707",52.3,24,44.9,24,1021.5,24,NA,0,23.7,24,4.3,24,9.9,NA,63.1,"",39.7,"",0,"E",NA,"000000"
"100",32200,99999,2000,"0708",55.2,21,50.7,21,1012.9,21,NA,0,19.1,21,7.6,21,14,NA,60.6,"",52,"",0.08,"F",NA,"000000"
"101",32200,99999,2000,"0709",57.1,24,53.5,24,993.9,24,NA,0,23.7,24,8.3,24,14,NA,62.2,"",53.8,"*",0.59,"F",NA,"000000"
"102",32200,99999,2000,"0710",55.1,23,47.7,23,996.4,22,NA,0,28.4,23,10.6,23,15.9,NA,60.6,"",50,"*",0.24,"F",NA,"000000"
"103",32200,99999,2000,"0711",54.4,23,41.6,23,1007.9,23,NA,0,28.5,23,5.9,23,8.9,NA,64.2,"",42.8,"",0,"E",NA,"000000"
"104",32200,99999,2000,"0712",53.8,24,46.8,24,1012.3,24,NA,0,21.3,24,4.4,24,9.9,NA,61.7,"",43.5,"",0,"I",NA,"000000"
"105",32200,99999,2000,"0713",56.1,24,50,24,1008.8,23,NA,0,23.9,24,7.4,24,12,NA,61.9,"",51.4,"*",0,"E",NA,"000000"
"106",32200,99999,2000,"0714",55.9,24,48,24,1011,24,NA,0,27.4,24,7.9,24,13,NA,65.3,"",50.5,"*",0.04,"E",NA,"000000"
"107",32200,99999,2000,"0715",55.7,21,47.5,21,1017.7,21,NA,0,23.6,21,2.3,21,7,NA,65.5,"",46.2,"",0,"I",NA,"000000"
"108",32200,99999,2000,"0716",55.7,23,47.2,23,1020.4,23,NA,0,19.8,23,2.4,23,8,NA,67.1,"",45.5,"",0,"I",NA,"000000"
"109",32200,99999,2000,"0717",57.6,23,49.1,23,1020.4,23,NA,0,18.6,23,3.2,23,9.9,NA,70.2,"",46.4,"",0,"I",NA,"000000"
"110",32200,99999,2000,"0718",60.7,24,52.3,24,1021.2,24,NA,0,17.3,24,2.6,24,8,NA,70.3,"",51.6,"",0,"I",NA,"000000"
"111",32200,99999,2000,"0719",62.1,23,51.3,23,1021,23,NA,0,20.2,23,6.4,23,13,NA,70.3,"",54,"",0,"I",NA,"000000"
"112",32200,99999,2000,"0720",60,24,50.4,24,1024.1,24,NA,0,23.8,24,4.9,24,8.9,NA,68.7,"",54.3,"*",0,"I",NA,"000000"
"113",32200,99999,2000,"0721",63.7,24,53.9,24,1026.7,24,NA,0,17.5,24,2.8,24,11.1,NA,78.1,"",49.5,"",0,"I",NA,"000000"
"114",32200,99999,2000,"0722",60.2,24,52.2,24,1025.3,24,NA,0,17.6,24,8.9,24,13,NA,69.3,"",53.1,"",0,"I",NA,"000000"
"115",32200,99999,2000,"0723",59.7,24,51.4,24,1019.6,24,NA,0,19.3,24,8.2,24,12,NA,69.6,"",54.5,"",0,"I",NA,"000000"
"116",32200,99999,2000,"0724",56.1,14,49.9,14,1015.4,14,NA,0,26.4,13,4.2,14,7,NA,59.5,"*",54.7,"",0,"I",NA,"000000"
"117",32200,99999,2000,"0726",60.5,23,53.2,23,1009.6,23,NA,0,10.1,23,2.9,23,8.9,NA,69.8,"",53.2,"",0,"I",NA,"000000"
"118",32200,99999,2000,"0727",59.1,24,53.3,24,1012,24,NA,0,8.7,24,1.9,24,8.9,NA,68.5,"",48.4,"",0.02,"E",NA,"000000"
"119",32200,99999,2000,"0728",60.8,24,55.6,24,1012.1,24,NA,0,9.1,23,3.6,24,11.1,NA,68.4,"",52.7,"",0.08,"E",NA,"000000"
"120",32200,99999,2000,"0729",62.4,24,56.5,24,1016.1,24,NA,0,11.4,24,2.9,17,8.9,NA,70.9,"",57,"",0,"I",NA,"000000"
"121",32200,99999,2000,"0730",63.4,24,56.1,24,1020.6,24,NA,0,13.9,24,0,12,NA,NA,72,"",56.8,"",0,"I",NA,"000000"
"122",32200,99999,2000,"0731",60.6,24,57.3,24,1017.9,24,NA,0,13.8,24,0,9,NA,NA,63.5,"",56.8,"",0.28,"F",NA,"000000"
"123",32200,99999,2000,"0801",61.7,23,52.4,23,1013.1,23,NA,0,17.7,23,0,5,NA,NA,66.9,"",57.4,"*",0,"I",NA,"000000"
"124",32200,99999,2000,"0802",60,24,53.6,24,1008.2,24,NA,0,21.6,24,4,15,9.9,NA,66.6,"",55,"*",0.12,"E",NA,"000000"
"125",32200,99999,2000,"0803",59.7,23,53.1,23,1015.3,23,NA,0,17.5,23,4.7,23,11.1,NA,69.3,"",51.8,"",0.08,"F",NA,"000000"
"126",32200,99999,2000,"0804",57.9,23,52.3,23,1022.6,23,NA,0,22.8,23,6.6,23,14,NA,63.7,"",52.7,"",0,"I",NA,"000000"
"127",32200,99999,2000,"0805",58.1,24,53.6,24,1024,24,NA,0,18.3,24,6.6,24,11.1,NA,64.9,"",49.6,"",0,"I",NA,"000000"
"128",32200,99999,2000,"0806",63.9,24,59.5,24,1023.8,24,NA,0,26.3,24,8.6,24,13,NA,69.1,"",58.8,"*",0,"I",NA,"000000"
"129",32200,99999,2000,"0807",60.1,24,56.2,24,1023.6,24,NA,0,22.8,24,6.4,24,9.9,NA,66.4,"",54.5,"",0.04,"E",NA,"000000"
"130",32200,99999,2000,"0808",64.2,24,57.4,24,1020.1,24,NA,0,16.8,24,2.2,12,8,NA,73.4,"",58.1,"",0,"I",NA,"000000"
"131",32200,99999,2000,"0809",61.1,22,58.2,22,1014,22,NA,0,14.4,22,8.6,10,11.1,NA,63.7,"",58.5,"",0.02,"F",NA,"000000"
"132",32200,99999,2000,"0810",61.4,24,56.3,24,1013.6,24,NA,0,30.4,24,8.7,24,14,NA,65.1,"",56.3,"*",0.02,"E",NA,"000000"
"133",32200,99999,2000,"0811",59.1,23,53.9,23,1015.3,23,NA,0,18.1,23,2.6,23,11.1,NA,69.3,"",50.4,"",0,"I",NA,"000000"
"134",32200,99999,2000,"0812",60.4,23,56.6,23,1011.9,23,NA,0,16.7,23,2.4,23,8.9,NA,67.8,"",53.2,"",0.04,"E",NA,"000000"
"135",32200,99999,2000,"0813",64.1,22,61.3,22,1011.7,22,NA,0,16.2,22,2.2,22,6,NA,68.2,"",61.2,"",0.08,"F",NA,"000000"
"136",32200,99999,2000,"0814",62.2,24,59.2,24,1010.7,24,NA,0,13,24,5.4,24,12,NA,65.7,"",59.2,"*",0.63,"F",NA,"000000"
"137",32200,99999,2000,"0815",58.5,21,53,21,1014.4,20,NA,0,27.2,18,7,21,15,NA,65.5,"",53.1,"",0,"E",NA,"000000"
"138",32200,99999,2000,"0816",58.3,21,52.4,21,1009,21,NA,0,21.9,21,8.9,21,18.1,NA,64.4,"",54.7,"*",0.47,"F",NA,"000000"
"139",32200,99999,2000,"0817",57.6,24,50,24,1007.6,24,NA,0,30.8,24,6.2,24,14,NA,63.9,"",52,"",0,"I",NA,"000000"
"140",32200,99999,2000,"0818",57.6,23,50.1,23,1009.3,23,NA,0,30.5,23,2.2,23,7,NA,66.7,"",51.1,"",0.67,"E",NA,"000000"
"141",32200,99999,2000,"0819",55,24,50.4,24,1010.2,24,NA,0,21.3,24,1.7,24,5.1,NA,62.8,"",51.1,"",0.24,"F",NA,"000000"
"142",32200,99999,2000,"0820",54.4,24,47.2,24,1013.9,24,NA,0,21.9,24,2.3,24,8,NA,67.5,"",43,"",0,"E",NA,"000000"
"143",32200,99999,2000,"0821",53.2,24,46.8,24,1014.9,24,NA,0,16.9,24,5,24,8.9,NA,65.8,"",44.1,"",0.02,"E",NA,"000000"
"144",32200,99999,2000,"0822",56.5,24,49,24,1021.5,24,NA,0,19.3,24,5.1,24,8.9,NA,66.9,"",45.7,"",0,"I",NA,"000000"
"145",32200,99999,2000,"0823",58.5,24,49.8,24,1025.9,24,NA,0,11.2,24,2.2,16,6,NA,71.4,"",46.6,"",0,"I",NA,"000000"
"146",32200,99999,2000,"0824",59.2,24,50.3,24,1024.6,24,NA,0,12.2,24,0,14,NA,NA,70.7,"",47.8,"",0,"I",NA,"000000"
"147",32200,99999,2000,"0825",63.9,24,52.3,24,1019.8,24,NA,0,16.6,24,1.2,13,5.1,NA,80.2,"",46.9,"",0,"I",NA,"000000"
"148",32200,99999,2000,"0826",62.9,24,58,24,1008.1,24,NA,0,7.1,24,NA,0,NA,NA,69.6,"",58.6,"",0.24,"F",NA,"000000"
"149",32200,99999,2000,"0827",59.7,23,53.3,23,1011.6,23,NA,0,20.8,23,0,4,NA,NA,66.7,"",53.8,"*",0.02,"E",NA,"000000"
"150",32200,99999,2000,"0828",56.1,24,50.9,24,1017,24,NA,0,20,24,0,15,NA,NA,67.3,"",46.4,"",0,"I",NA,"000000"
"151",32200,99999,2000,"0829",57.2,24,50,24,1021,24,NA,0,15.6,24,0,16,NA,NA,69.1,"",47.3,"",0,"I",NA,"000000"
"152",32200,99999,2000,"0830",57.1,22,50.6,22,1019.6,22,NA,0,9.6,22,0.6,12,4.1,NA,67.6,"",48.4,"",0,"E",NA,"000000"
"153",32200,99999,2000,"0831",58.3,24,52.4,24,1005,24,NA,0,8.3,24,6.3,24,13,NA,60.4,"",54.5,"",0.2,"E",NA,"000000"
"154",32200,99999,2000,"0901",58.5,24,51.7,24,999,24,NA,0,22.5,24,2.1,24,7,NA,68.7,"",52.2,"",0,"I",NA,"000000"
"155",32200,99999,2000,"0902",56.6,24,50.2,24,1011.5,24,NA,0,15.8,24,5.3,24,12,NA,63.3,"",47.3,"*",0.04,"F",NA,"000000"
"156",32200,99999,2000,"0903",51.4,24,43.2,24,1022,24,NA,0,20.2,24,1.3,24,6,NA,62.8,"",41.4,"",0,"I",NA,"000000"
"157",32200,99999,2000,"0904",57.4,24,47.8,24,1022.1,24,NA,0,15.7,23,3.7,24,13,NA,68.2,"",47.1,"",0,"I",NA,"000000"
"158",32200,99999,2000,"0905",60.6,24,56.1,24,1015.4,24,NA,0,12.6,24,6.3,24,12,NA,67.3,"",57.7,"*",0.44,"F",NA,"000000"
"159",32200,99999,2000,"0906",57.5,24,48.6,24,1006.3,24,NA,0,20.2,24,9.8,24,22.9,36.9,63.3,"",50.7,"*",0.26,"F",NA,"000000"
"160",32200,99999,2000,"0907",58,24,52.2,24,1007.5,24,NA,0,15.2,24,8.4,24,19,NA,66.6,"",50.5,"",0.04,"F",NA,"000000"
